ds,y,yhat,yhat_lower,yhat_upper
2026-03-03,180.04025268554688,196.50321609191903,186.20447088726746,205.71081910356781
2026-03-04,183.03009033203125,196.59792961412177,185.63775214969166,206.4689677249703
2026-03-05,183.330078125,196.75558075067207,188.29966144050607,207.1485117915438
2026-03-06,177.8103790283203,196.80504367628868,186.93507550569225,206.77521112805846
2026-03-09,182.64010620117188,197.2077594683775,186.47636636254938,204.2732561324568
2026-03-10,184.760009765625,197.29229360943748,187.7552791422678,207.51820353643558
2026-03-11,186.02999877929688,197.46245009626276,187.93040662451662,207.67413906777813
2026-03-12,183.13999938964844,197.6995095396773,188.5847773216676,209.14314111591995
2026-03-13,180.25,197.83009567962526,190.60892861919498,207.22441712403725
2026-03-16,183.22000122070312,198.4633871906998,190.81154839009713,207.08154807986188
2026-03-17,181.92999267578125,198.61306885595894,188.72688403954854,208.75869853444226
2026-03-18,180.3999938964844,198.83913375809178,188.77618196638065,208.77476220326463
2026-03-19,178.55999755859375,199.12115630334065,188.58405302384077,208.9337033509677
2026-03-20,172.6999969482422,199.28434008626405,189.23355686773456,211.2870102022513
2026-03-23,175.63999938964844,199.93210773459137,190.25409909639168,209.89992801135833
2026-03-24,175.1999969482422,200.05766922762538,189.56440196757123,211.5509376586807
2026-03-25,178.67999267578125,200.24552883688938,187.83509335676214,210.40885134747762
2026-03-26,171.24000549316406,200.47607254186448,190.18128644037267,212.8282584871795
2026-03-27,167.52000427246094,200.57567799400897,188.84485367367853,212.09176172486912
2026-03-30,165.1699981689453,200.97659449843405,191.00115754665904,213.0376487170223
2026-03-31,174.39999389648438,201.00792948270902,191.1994407575819,210.02911490856133
2026-04-01,175.75,201.09941962532056,189.53817878480527,213.96835168931034
2026-04-02,177.38999938964844,201.23389016010483,190.90080533731933,210.87661384676937
2026-04-06,177.63999938964844,201.40072938632673,190.29696290754643,212.10831151201666
2026-04-07,178.10000610351562,201.3720599766729,191.45816471666055,214.6244102825306
2026-04-08,182.0800018310547,201.41644716936722,190.64917453211285,213.2518997882208
2026-04-09,183.91000366210935,201.51796892737016,190.68411640267874,210.25256026176896
2026-04-10,188.6300048828125,201.50635188258144,189.30675331323152,212.8200689989129
2026-04-13,189.30999755859372,201.70706452737804,192.88076318383094,211.97758242647515
2026-04-14,196.50999450683597,201.72233254675578,190.4196281297608,213.60789119824113
2026-04-15,198.8699951171875,201.82467936212615,191.6897675597782,213.1598930882513
2026-04-16,198.3500061035156,201.99694379483898,191.54374729764285,210.3158660391231
2026-04-17,201.67999267578125,202.0673407328833,189.6836415509813,211.60439137575023
2026-04-20,202.05999755859372,202.56353659003648,190.0661689497899,213.06004016526518
2026-04-21,199.8800048828125,202.68707953610547,189.19416342808955,214.742112022559
2026-04-22,202.5,202.89912814819715,192.7880611091229,215.6033877772899
2026-04-23,199.63999938964844,203.18049974333812,192.44251394339696,213.476172907483
2026-04-24,208.2700042724609,203.35750513648009,188.53531427912782,217.74743321304146
